Item No,Location,Brand,Type/Material,Style,Pattern,Size,Group,Color,Procurement Price,Cost Price,Base Rate (Without Tax),Discount Percentage,base_rate_discount,GST %,MRP Price (With Tax),Stock opening date,Stock closing date,Quantity available,Quantity sold
1,Salem,Allen Solly,,Jogger,Solid,S,Winter,Red,2433.41,2725.4192,4360.67072,15,3706.57,18,4373.75,30-May-24,27-Sep-24,709,532
2,Salem,Allen Solly,Polyester,Casual,Stonewashed,S,Winter,Grey,3835.63,4295.9056,6873.44896,20,5498.76,15,6323.57,27-May-24,24-Sep-24,952,714
3,Madurai,Polo,,Slim,Stonewashed,S,Spring,Black,1078.26,1207.6512,1932.24192,30,1352.57,16,1568.98,03-Feb-24,02-Jun-24,940,705
4,Coimbatore,Celio,,Casual,Plain,XL,Summer,Grey,3346.21,3747.7552,5996.40832,40,3597.84,15,4137.52,01-Feb-24,31-May-24,958,718
5,T.Nagar,Allen Solly,Polyester,Jogger,Solid,S,Autumn,Black,2121.88,2376.5056,3802.40896,30,2661.69,12,2981.09,25-Aug-23,23-Dec-23,839,629
6,Chrompet,Celio,Denim,Bootcut,Stonewashed,S,Summer,Red,2337.01,2617.4512,4187.92192,5,3978.53,15,4575.31,19-Mar-24,17-Jul-24,918,688
7,Chrompet,Allen Solly,Cotton,Casual,Solid,S,Winter,Grey,2317.92,2596.0704,4153.71264,45,2284.54,16,2650.07,14-May-24,11-Sep-24,871,653
8,T.Nagar,Arrow,Denim,Bootcut,Plain,L,Spring,Grey,1404.08,1572.5696,2516.11136,25,1887.08,16,2189.01,08-Apr-24,06-Aug-24,331,248
9,Coimbatore,Polo,Denim,Casual,Stripes,XXL,Autumn,Green,827.61,926.9232,1483.07712,0,1483.08,14,1690.71,28-Aug-23,26-Dec-23,452,339
10,Chrompet,Allen Solly,Polyester,Jogger,Washed,M,Winter,Grey,784.24,878.3488,1405.35808,25,1054.02,18,1243.74,03-Feb-24,02-Jun-24,832,624
11,Trichy,Arrow,,Slim,Plain,S,Winter,Green,717.96,804.1152,1286.58432,10,1157.93,12,1296.88,26-Jan-24,25-May-24,604,453
12,Coimbatore,Celio,Polyester,Bootcut,Stripes,XXL,Autumn,Red,1476.19,1653.3328,2645.33248,35,1719.47,14,1960.2,19-Feb-24,18-Jun-24,690,518
13,T.Nagar,Arrow,Linen,Bootcut,Stripes,S,Winter,Red,3567.4,3995.488,6392.7808,45,3516.03,16,4078.59,11-Aug-23,09-Dec-23,288,216
14,Trichy,Tommy Hilfiger,Denim,Bootcut,Solid,M,Winter,Green,3248.83,3638.6896,5821.90336,50,2910.95,12,3260.26,09-Jan-24,08-May-24,151,113
15,Coimbatore,Allen Solly,Linen,Formal,Stonewashed,XXL,Summer,Grey,1437.27,1609.7424,2575.58784,5,2446.81,12,2740.43,30-Aug-23,28-Dec-23,574,430
16,Madurai,Celio,,Slim,Stripes,XXL,Summer,Green,2173.62,2434.4544,3895.12704,50,1947.56,16,2259.17,07-May-24,04-Sep-24,915,686
17,Chrompet,Polo,Polyester,Slim,Washed,M,Spring,Grey,3129.35,3504.872,5607.7952,5,5327.41,15,6126.52,21-Mar-24,19-Jul-24,318,238
18,Chrompet,Celio,Linen,Casual,Solid,XXL,Summer,Blue,2778.79,3112.2448,4979.59168,40,2987.76,18,3525.56,10-Sep-23,08-Jan-24,621,466
19,Chrompet,Celio,Denim,Bootcut,Plain,L,Spring,Black,2467.36,2763.4432,4421.50912,10,3979.36,16,4616.06,16-Jun-24,14-Oct-24,153,115
20,Trichy,Zara,Cotton,Bootcut,Washed,XL,Winter,Green,2690.68,3013.5616,4821.69856,40,2893.02,18,3413.76,28-Aug-23,26-Dec-23,425,319
21,Coimbatore,Zara,Denim,Slim,Solid,XXL,Winter,Blue,1468.02,1644.1824,2630.69184,30,1841.48,12,2062.46,28-Apr-24,26-Aug-24,119,89
22,T.Nagar,Tommy Hilfiger,,Slim,Stonewashed,XL,Autumn,Green,2363.05,2646.616,4234.5856,35,2752.48,15,3165.35,27-Aug-23,25-Dec-23,996,747
23,Madurai,Celio,Denim,Formal,Washed,M,Winter,Green,3462.1,3877.552,6204.0832,40,3722.45,12,4169.14,17-Mar-24,15-Jul-24,515,386
24,Trichy,Zara,Polyester,Formal,Plain,L,Summer,Red,809.72,906.8864,1451.01824,35,943.16,16,1094.07,20-Aug-23,18-Dec-23,79,59
25,T.Nagar,Polo,Linen,Jogger,Stonewashed,L,Summer,Black,686.06,768.3872,1229.41952,35,799.12,14,911,25-Dec-23,23-Apr-24,346,260
26,Salem,Celio,Cotton,Jogger,Plain,M,Summer,Black,1796.28,2011.8336,3218.93376,15,2736.09,12,3064.42,12-Jul-24,09-Nov-24,769,577
27,Trichy,Allen Solly,Denim,Bootcut,Solid,XXL,Summer,Blue,3685.22,4127.4464,6603.91424,15,5613.33,18,6623.73,28-Jun-24,26-Oct-24,868,651
28,Trichy,Arrow,Denim,Slim,Plain,S,Winter,Black,3831.33,4291.0896,6865.74336,30,4806.02,15,5526.92,10-Nov-23,09-Mar-24,753,565
29,Chrompet,Zara,,Casual,Plain,L,Summer,Red,1199.45,1343.384,2149.4144,20,1719.53,14,1960.26,01-Sep-23,30-Dec-23,401,301
30,Salem,Zara,Linen,Slim,Plain,L,Summer,Green,2902.8,3251.136,5201.8176,25,3901.36,15,4486.56,24-Jul-24,21-Nov-24,766,574
31,Chrompet,Arrow,Cotton,Formal,Stripes,XXL,Spring,Red,2776.34,3109.5008,4975.20128,25,3731.4,14,4253.8,09-Jul-24,06-Nov-24,988,741
32,Coimbatore,Polo,Polyester,Formal,Solid,M,Winter,Black,3466.73,3882.7376,6212.38016,30,4348.67,15,5000.97,19-Jun-24,17-Oct-24,789,592
33,Madurai,Allen Solly,Wool,Casual,Stripes,M,Autumn,Green,1630.38,1826.0256,2921.64096,10,2629.48,15,3023.9,22-Jan-24,21-May-24,884,663
34,Madurai,Celio,Polyester,Bootcut,Stripes,L,Summer,Grey,1100.6,1232.672,1972.2752,35,1281.98,15,1474.28,21-May-24,18-Sep-24,878,658
35,Salem,Allen Solly,Wool,Slim,Solid,XXL,Summer,Green,1620.17,1814.5904,2903.34464,35,1887.17,16,2189.12,27-Nov-23,26-Mar-24,232,174
36,Chrompet,Celio,,Casual,Washed,XL,Autumn,Red,3343.73,3744.9776,5991.96416,25,4493.97,16,5213.01,06-Nov-23,05-Mar-24,845,634
37,Madurai,Polo,Denim,Jogger,Solid,M,Summer,Blue,2388,2674.56,4279.296,30,2995.51,14,3414.88,22-Dec-23,20-Apr-24,914,686
38,Madurai,Celio,Polyester,Bootcut,Stripes,M,Summer,Black,3070.77,3439.2624,5502.81984,0,5502.82,15,6328.24,28-Feb-24,27-Jun-24,84,63
39,Chrompet,Celio,Denim,Formal,Washed,L,Autumn,Green,2852.14,3194.3968,5111.03488,45,2811.07,14,3204.62,23-Feb-24,22-Jun-24,59,44
40,Coimbatore,Zara,Wool,Slim,Washed,M,Autumn,Black,3148.06,3525.8272,5641.32352,5,5359.26,16,6216.74,19-Mar-24,17-Jul-24,557,418
41,Salem,Allen Solly,Linen,Slim,Plain,XXL,Summer,Grey,3097.57,3469.2784,5550.84544,35,3608.05,15,4149.26,10-Feb-24,09-Jun-24,661,496
42,T.Nagar,Tommy Hilfiger,Denim,Formal,Washed,XXL,Winter,Black,3717.32,4163.3984,6661.43744,5,6328.37,18,7467.48,19-Nov-23,18-Mar-24,834,626
43,Trichy,Tommy Hilfiger,Linen,Slim,Washed,XXL,Winter,Grey,2854.92,3197.5104,5116.01664,45,2813.81,14,3207.74,05-Oct-23,02-Feb-24,306,230
44,Trichy,Celio,,Jogger,Solid,L,Spring,Green,3074.73,3443.6976,5509.91616,40,3305.95,16,3834.9,05-Jun-24,03-Oct-24,260,195
45,Trichy,Celio,Polyester,Formal,Plain,L,Spring,Green,2030.7,2274.384,3639.0144,0,3639.01,15,4184.86,21-Jul-24,18-Nov-24,234,176
46,Salem,Tommy Hilfiger,Linen,Jogger,Solid,M,Autumn,Black,2631.37,2947.1344,4715.41504,10,4243.87,16,4922.89,04-Sep-23,02-Jan-24,918,688
47,Trichy,Tommy Hilfiger,Linen,Jogger,Stonewashed,S,Autumn,Blue,1207.07,1351.9184,2163.06944,15,1838.61,18,2169.56,21-Nov-23,20-Mar-24,890,668
48,Coimbatore,Celio,Denim,Jogger,Washed,M,Winter,Red,835.87,936.1744,1497.87904,45,823.83,12,922.69,25-Nov-23,24-Mar-24,86,64
49,Salem,Tommy Hilfiger,,Jogger,Stonewashed,M,Autumn,Black,3392.82,3799.9584,6079.93344,10,5471.94,18,6456.89,28-Jun-24,26-Oct-24,141,106
50,Trichy,Polo,Polyester,Casual,Washed,M,Spring,Black,1811.63,2029.0256,3246.44096,10,2921.8,18,3447.72,27-Apr-24,25-Aug-24,569,427
51,Coimbatore,Arrow,Cotton,Bootcut,Stripes,L,Autumn,Red,1308.12,1465.0944,2344.15104,20,1875.32,14,2137.86,20-Jun-24,18-Oct-24,457,343
52,Madurai,Polo,Polyester,Bootcut,Plain,XXL,Spring,Blue,3306.45,3703.224,5925.1584,50,2962.58,15,3406.97,12-Jun-24,10-Oct-24,562,422
53,Coimbatore,Polo,Wool,Casual,Stripes,XXL,Winter,Green,2921.96,3272.5952,5236.15232,50,2618.08,15,3010.79,09-Jan-24,08-May-24,796,597
54,T.Nagar,Polo,Cotton,Formal,Stonewashed,M,Summer,Grey,3991.09,4470.0208,7152.03328,10,6436.83,16,7466.72,21-Dec-23,19-Apr-24,991,743
55,Chrompet,Allen Solly,Polyester,Casual,Stripes,S,Winter,Blue,1355.86,1518.5632,2429.70112,45,1336.34,18,1576.88,26-Mar-24,24-Jul-24,428,321
56,Coimbatore,Polo,Denim,Slim,Plain,L,Spring,Black,1310.39,1467.6368,2348.21888,5,2230.81,18,2632.36,10-Jan-24,09-May-24,520,390
57,Chrompet,Zara,Polyester,Jogger,Stripes,XL,Winter,Red,880.39,986.0368,1577.65888,35,1025.48,12,1148.54,19-Jun-24,17-Oct-24,377,283
58,Chrompet,Polo,Wool,Jogger,Washed,M,Winter,Blue,3010.61,3371.8832,5395.01312,30,3776.51,16,4380.75,27-Mar-24,25-Jul-24,868,651
59,Madurai,Tommy Hilfiger,Cotton,Formal,Stonewashed,XXL,Summer,Blue,3149.68,3527.6416,5644.22656,0,5644.23,15,6490.86,26-Jun-24,24-Oct-24,104,78
60,Chrompet,Zara,,Casual,Stripes,L,Summer,Black,3151.74,3529.9488,5647.91808,50,2823.96,16,3275.79,31-Mar-24,29-Jul-24,890,668
61,T.Nagar,Zara,Polyester,Slim,Solid,XXL,Spring,Red,837.5,938,1500.8,25,1125.6,14,1283.18,28-Aug-23,26-Dec-23,434,326
62,Chrompet,Tommy Hilfiger,Wool,Jogger,Stripes,XL,Summer,Black,2098.05,2349.816,3759.7056,20,3007.76,18,3549.16,17-Jun-24,15-Oct-24,780,585
63,Trichy,Celio,,Bootcut,Washed,XXL,Spring,Black,3684.68,4126.8416,6602.94656,15,5612.5,14,6398.25,11-Jan-24,10-May-24,65,49
64,Madurai,Celio,Denim,Formal,Solid,XXL,Winter,Green,1184.92,1327.1104,2123.37664,30,1486.36,14,1694.45,26-Jul-24,23-Nov-24,686,514
65,Chrompet,Arrow,,Jogger,Stripes,XXL,Spring,Green,3276.67,3669.8704,5871.79264,15,4991.02,18,5889.4,07-Jan-24,06-May-24,407,305
66,Chrompet,Polo,Denim,Formal,Plain,XL,Winter,Grey,2278,2551.36,4082.176,45,2245.2,12,2514.62,15-Jul-24,12-Nov-24,732,549
67,Trichy,Celio,Cotton,Slim,Stripes,L,Winter,Black,2594.2,2905.504,4648.8064,30,3254.16,15,3742.28,13-Oct-23,10-Feb-24,819,614
68,Trichy,Polo,,Casual,Stripes,S,Autumn,Grey,1702.72,1907.0464,3051.27424,5,2898.71,18,3420.48,04-Feb-24,03-Jun-24,392,294
69,Chrompet,Arrow,Denim,Bootcut,Stonewashed,S,Winter,Grey,3859.24,4322.3488,6915.75808,45,3803.67,16,4412.26,01-Feb-24,31-May-24,797,598
70,Madurai,Zara,Cotton,Formal,Solid,L,Spring,Grey,1559.14,1746.2368,2793.97888,25,2095.48,16,2430.76,18-May-24,15-Sep-24,215,161
71,Madurai,Celio,Cotton,Bootcut,Solid,M,Spring,Grey,718.51,804.7312,1287.56992,15,1094.43,15,1258.59,01-May-24,29-Aug-24,638,478
72,Coimbatore,Polo,Wool,Jogger,Solid,XXL,Winter,Black,1552.04,1738.2848,2781.25568,40,1668.75,18,1969.12,21-Jul-24,18-Nov-24,75,56
73,Salem,Celio,Cotton,Jogger,Plain,M,Winter,Blue,2076.25,2325.4,3720.64,35,2418.42,15,2781.18,28-Apr-24,26-Aug-24,488,366
74,Trichy,Polo,Cotton,Bootcut,Stonewashed,XXL,Summer,Grey,1629.2,1824.704,2919.5264,30,2043.67,16,2370.66,26-Sep-23,24-Jan-24,211,158
75,Chrompet,Tommy Hilfiger,,Casual,Plain,XXL,Summer,Blue,2170.18,2430.6016,3888.96256,25,2916.72,16,3383.4,25-Oct-23,22-Feb-24,692,519
76,Trichy,Polo,Cotton,Slim,Stripes,M,Summer,Grey,986.15,1104.488,1767.1808,5,1678.82,12,1880.28,26-Jan-24,25-May-24,527,395
77,Madurai,Polo,,Jogger,Stonewashed,XXL,Winter,Green,3084.09,3454.1808,5526.68928,40,3316.01,12,3713.93,16-May-24,13-Sep-24,648,486
78,Salem,Celio,Cotton,Casual,Stripes,M,Summer,Black,3985.29,4463.5248,7141.63968,40,4284.98,15,4927.73,17-Apr-24,15-Aug-24,157,118
79,Chrompet,Arrow,Polyester,Formal,Stonewashed,M,Winter,Green,1653.01,1851.3712,2962.19392,40,1777.32,18,2097.24,29-Feb-24,28-Jun-24,218,164
80,T.Nagar,Zara,Linen,Slim,Stonewashed,XL,Autumn,Grey,1574.59,1763.5408,2821.66528,35,1834.08,16,2127.53,09-Aug-23,07-Dec-23,399,299
